Gene	TCGA-AA-3850	TCGA-AA-3845	TCGA-AA-3852	TCGA-G4-6302	TCGA-AA-3492	TCGA-G4-6314	TCGA-G4-6311	TCGA-A6-2672	TCGA-DM-A1HA	TCGA-DM-A1HB
DUTP6	5	2	1	19	3	17	7	35	17	6
AC096631.1	0	0	0	0	0	0	0	0	0	0
AL662890.1	0	10	6	4	2	5	2	2	10	10
OSTM1-AS1	0	0	0	0	0	0	0	1	0	0
AC109780.1	0	0	0	0	0	0	0	0	0	0
ATP5MGP4	3	0	6	0	4	0	0	4	0	0
AL590617.2	25	16	39	29	28	72	49	26	138	32
LINC00457	0	0	0	0	0	0	0	0	1	0
PVALEF	0	0	0	0	0	1	0	1	1	0
AL121584.1	0	0	0	0	0	0	0	1	0	0
AC092601.1	0	0	0	0	0	0	0	0	0	0
AL353898.1	0	0	0	1	0	0	1	6	0	1
PPIAP8	0	0	0	0	1	0	0	0	3	2
AC073283.1	1	8	16	10	16	7	5	39	128	24
REREP1Y	0	0	0	0	0	0	0	0	0	0
PLEKHM1	714	967	675	1418	534	1751	2285	1310	2120	1891
AL136455.1	0	0	0	0	0	0	0	0	0	0
ZNF33BP1	2	2	0	0	0	3	0	18	1	2
LINC00092	6	0	2	20	1	15	7	29	17	1
AC078962.1	1	1	1	6	0	4	1	39	2	17
SSXP3	0	0	0	0	0	0	0	0	0	0
AC246787.1	22	40	36	99	69	109	71	24	359	362
AL139230.1	0	0	0	0	0	0	0	6	0	0
AC078883.1	91	112	23	34	11	100	88	362	117	165
MIR137HG	0	0	0	6	0	2	1	0	1	0
AL133387.1	0	0	0	0	0	0	0	0	0	0
AC092637.1	0	0	0	0	0	0	0	0	0	0
DUXAP9	0	4	0	13	0	22	34	5	84	1
AKR1B1P6	0	0	0	0	0	0	0	0	0	0
AC073367.1	1	1	0	7	0	2	3	46	7	2
AC079790.1	0	0	0	0	0	0	0	0	0	0
SMARCE1P1	0	1	0	0	0	1	0	10	1	0
AC007362.1	0	1	0	11	0	3	0	89	0	0
HSPA7	27	20	20	126	6	131	41	200	14	132
AP001628.1	3	0	8	2	1	8	6	40	11	9
PLA2G12AP2	0	0	0	0	0	0	0	0	0	0
CHCHD4P5	0	0	0	0	0	0	0	101	0	0
ARL2BPP10	0	0	0	0	0	0	0	0	0	0
LINC01795	0	0	0	1	0	0	0	0	0	0
AC008937.1	0	0	1	1	0	3	0	7	3	0
LINC02470	0	0	4	0	0	0	0	0	0	0
AL592402.1	0	0	0	0	0	1	0	0	0	0
TRAPPC12-AS1	9	10	13	19	3	31	18	17	29	26
INTS6L-AS1	2	0	6	0	0	3	0	0	0	3
AP000936.2	0	0	0	1	1	0	0	0	0	1
Z93015.1	0	0	0	0	0	0	0	0	0	0
AC117490.1	0	0	0	1	0	0	0	1	0	0
COX6B1P7	0	0	0	0	1	0	0	0	0	0
AL021026.1	0	0	0	0	0	0	0	2	0	0
AC069152.1	0	0	0	0	0	0	0	0	0	0
LINC00378	0	0	0	0	0	0	0	1	0	0
AC011225.1	0	0	0	0	0	0	0	0	0	0
ARMC8P1	0	0	0	0	0	0	0	1	0	0
LINC01297	0	0	0	0	0	0	2	0	10	0
TRAPPC2P5	0	0	0	0	0	0	0	0	0	0
AC009478.1	0	0	0	0	0	3	0	0	0	0
ST13P6	7	9	1	1	47	8	5	2	13	8
PCDH9-AS3	0	0	0	0	0	0	0	0	0	0
ZNRF2P2	12	8	8	7	6	20	21	16	20	8
TAF1A-AS1	16	15	16	11	17	31	22	3	100	66
LINC00705	1	3	0	0	0	1	7	1	11	1
CICP12	0	0	0	0	0	0	0	0	0	0
AC074281.1	0	0	2	0	1	0	0	0	0	1
AL451074.3	0	0	0	0	0	1	0	11	0	0
NUP210P2	0	0	0	0	0	0	0	0	0	0
MTND1P18	0	0	0	0	0	0	0	0	0	0
AL121987.1	0	0	0	2	0	0	3	3	0	1
AL158013.1	0	0	0	0	0	0	0	0	0	0
AP000350.2	0	4	1	0	0	8	4	1	1	5
AC018693.1	0	0	0	0	0	0	0	5	0	0
LINC01770	18	16	74	98	13	39	13	33	134	230
AC005105.1	0	0	0	0	0	0	0	2	0	0
OFD1P13Y	0	0	0	0	0	0	0	0	0	0
AL158212.1	0	0	0	1	0	1	1	6	4	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0
OSTCP2	0	0	0	0	3	0	1	1	10	0
MTND4P4	0	0	0	0	0	0	0	0	0	0
AC126124.1	0	0	0	0	0	0	0	29	0	0
LINC00113	0	0	0	0	0	0	0	1	0	0
AL139240.1	0	0	0	0	0	0	0	0	0	1
AL591623.1	0	0	0	1	0	1	0	74	1	0
AL117341.1	0	0	0	0	0	0	0	30	0	0
AC106901.1	0	0	0	0	0	0	0	0	0	0
ASS1P11	14	4	8	1	59	0	22	26	3	5
DNAJC19P4	0	0	0	1	0	0	0	0	0	0
AL024474.2	0	0	0	0	0	0	0	23	1	0
AL513327.1	41	59	26	66	8	56	62	508	111	45
AC018634.1	0	0	0	0	0	0	0	1	0	0
AL591178.1	1	0	1	4	5	16	9	1	46	9
LINC00350	0	0	0	0	0	0	1	2	0	0
LINC01427	0	0	0	0	0	0	0	0	0	0
Z84721.1	0	0	0	0	0	0	0	0	0	0
AL583804.1	0	0	0	0	0	0	0	2	0	0
USP9YP19	0	0	0	0	0	0	0	0	0	0
USP17L3	0	0	0	0	0	0	0	0	0	0
LINC01594	17	0	6	9	4	2	13	40	0	0
LHFPL3-AS2	25	69	14	1	18	1595	227	16	18	39
AF064860.1	0	1	0	2	0	0	0	3	0	1
LINC01678	0	0	0	6	0	1	4	1	0	1
AL035404.1	0	0	0	1	0	1	0	0	0	0
AL391811.1	1	0	0	0	0	1	0	4	2	0
AC016027.1	55	29	21	30	21	45	64	41	41	61
HMGB3P1	0	0	0	0	0	0	0	0	1	0
AL353608.1	0	0	0	0	0	0	0	0	0	0
AL354740.1	3	5	3	8	3	2	10	26	32	2
AC013269.1	0	0	0	0	0	0	0	0	0	0
AC079630.1	7	3	2	11	0	9	1	7	0	0
AL035252.1	0	0	0	0	0	0	1	0	1	0
SNX18P3	4	14	14	12	12	4	16	151	16	30
SLC25A5P8	1	1	2	0	6	0	0	1	2	0
AC022080.2	1	0	0	0	0	0	0	20	0	0
FREM2-AS1	0	0	0	0	0	0	0	0	0	0
ARL6IP1P2	0	0	1	0	8	0	0	1	0	1
AC093840.1	57	48	21	5	35	9	5	4	36	9
RPF2P1	0	0	2	2	2	2	0	0	6	3
MIPEPP1	0	0	0	0	1	0	0	1	0	0
AL358393.1	0	0	0	0	0	0	0	0	0	0
AL772155.2	0	0	0	0	0	0	0	0	0	0
PPP1R26-AS1	53	44	115	48	21	184	176	220	363	91
CT62	8	2	1	1	0	5	5	0	0	11
ATP6V0E1P1	1	1	0	0	0	0	1	81	1	0
AC078942.1	0	0	0	1	0	1	0	46	5	2
TDGF1P3	4	1	1	1	1	3	3	1	0	0
AC009506.2	0	0	0	0	0	0	0	0	0	0
AC243962.1	1	1	2	1	0	2	2	2	1	0
CICP8	0	0	0	0	0	0	0	0	0	0
TMEM246-AS1	0	2	0	1	0	1	2	15	1	5
NRSN2-AS1	48	22	49	78	22	73	209	63	267	125
AC015977.2	0	0	0	0	0	0	0	0	0	1
SFTA1P	2	1	1	15	4	5	2	3	5	5
AL606662.1	0	0	0	0	0	0	0	0	0	0
AL353572.1	3	0	0	4	1	1	1	1	0	0
AC099754.1	0	0	0	0	0	0	0	0	0	0
AL591896.1	0	0	0	0	0	0	0	0	1	0
AL135902.1	3	0	0	1	0	2	2	5	0	1
AC016700.1	2	0	0	0	2	0	0	0	0	0
BX571846.1	0	0	0	1	0	0	1	0	0	0
AC106883.1	0	0	0	0	0	0	0	0	0	0
FAM236D	0	0	0	0	0	0	0	0	0	0
AC244505.3	0	0	0	0	0	0	0	0	0	0
PGM5P4	0	0	0	12	0	19	0	0	15	0
AC121247.1	1	3	1	4	4	18	3	15	1	1
RAB28P5	1	3	4	2	0	15	8	1	3	5
TGIF2P1	2	0	1	1	0	1	0	19	0	0
AC010878.1	5	6	1	0	5	0	0	4	1	0
AC080125.1	1	0	0	1	0	1	0	1	1	0
AC025188.1	0	1	0	1	0	1	1	11	0	0
AL136980.1	0	4	0	0	2	2	0	21	9	1
CR786580.1	0	0	1	1	0	5	3	1	0	1
LINC02557	0	0	0	1	0	1	0	0	2	0
CCRL1P1	0	1	0	1	0	0	0	0	2	0
AC104843.1	0	0	2	0	6	0	2	2	5	4
AL049648.1	0	0	0	0	0	0	0	0	0	0
AKR1C5P	1	0	0	0	0	0	1	5	3	0
AC104134.1	0	1	0	1	0	3	2	3	4	3
AC019330.1	1	1	2	0	0	2	5	0	0	0
RBMS1P1	0	2	0	13	0	13	9	48	5	2
TNPO1P1	1	4	2	0	0	1	0	98	2	0
AL391869.1	0	0	0	0	0	0	0	0	0	0
LINC00331	0	0	0	0	0	0	0	0	0	0
NDUFB4P7	0	0	0	0	0	0	0	0	0	0
LINC01671	2	0	1	0	1	0	0	0	7	6
MTND1P12	0	0	0	0	0	0	0	0	0	0
LINC01504	17	7	29	26	30	66	34	37	112	96
PACRG-AS2	0	0	0	0	0	0	0	0	0	0
KRT41P	0	0	0	1	0	1	0	0	0	0
BOLA3-AS1	7	15	5	101	8	102	45	21	36	6
MPRIP-AS1	0	4	1	1	0	1	1	118	4	5
AC004938.1	0	0	0	0	0	1	0	0	2	2
LINC01867	0	0	0	0	0	0	0	0	0	0
LINC01763	0	0	0	1	0	0	0	1	5	0
AC009477.1	0	0	0	0	0	0	0	0	0	0
RAB6C-AS1	0	0	0	8	0	3	2	0	0	2
AL021707.1	5	3	6	3	2	2	4	25	9	7
AC092634.2	0	0	0	1	0	1	0	0	3	0
TPI1P4	0	1	0	0	1	0	0	0	2	0
AC073346.1	0	0	0	0	0	0	0	0	0	0
AL049812.2	0	0	0	0	0	0	0	0	0	0
AL590233.1	0	1	0	0	0	0	0	79	0	1
FDPSP1	0	2	2	0	20	1	0	0	0	1
ZNF70P1	0	0	0	0	0	0	0	0	0	0
RFPL1S	0	2	1	22	7	9	1	1	2	0
OFD1P10Y	0	0	0	0	0	0	0	0	0	0
AL023773.1	0	0	0	0	0	0	0	0	1	0
JPX	127	190	90	452	173	788	451	554	760	483
BX119917.1	9	18	8	38	15	14	5	27	58	8
AL136366.1	0	1	0	5	0	2	0	1	0	2
ATP13A4-AS1	0	0	0	0	0	0	0	0	0	0
AC099789.1	2	1	3	1	13	0	0	0	1	3
MTCO3P5	0	0	0	0	0	0	0	2	0	1
AC099730.1	0	0	0	0	0	0	0	0	0	0
AL031737.1	0	0	0	0	0	0	0	0	0	0
PLCB1-IT1	0	0	0	0	0	0	0	13	0	0
AC006548.1	0	0	0	0	0	0	0	0	0	0
NUTM2B-AS1	116	187	107	251	67	527	283	1043	898	258
AL663058.1	1	0	0	0	4	0	0	1	3	1
AL390119.1	0	1	1	0	10	0	0	0	0	0
AC092447.4	0	0	0	0	0	0	0	0	0	0
AL354707.1	111	134	129	184	130	149	93	149	521	1020
UBE2Q2P4Y	0	0	0	0	0	0	0	0	0	0
GBP1P1	5	146	10	108	34	91	19	148	64	13
LINC01107	0	0	0	0	0	0	2	12	1	0
AC104651.1	0	3	1	1	17	0	0	6	0	0
KCNMA1-AS2	0	0	0	0	0	0	0	5	0	0
AC002064.1	0	0	0	2	0	1	1	12	0	0
SNRPFP3	0	0	0	0	0	0	0	0	0	0
GAPDHP16	0	0	0	0	0	0	0	2	0	1
AC104332.1	1	0	0	0	0	0	0	44	0	0
CYP4A22-AS1	3	1	8	6	7	7	5	5	38	12
AC069282.1	33	62	34	66	11	88	102	19	243	113
SSXP5	0	0	0	0	0	0	0	0	0	0
AIFM1P1	2	1	0	0	0	0	1	2	1	0
PCDH8P1	0	0	0	0	0	0	0	0	0	0
LINC00475	10	6	8	34	3	21	10	16	0	10
AL158824.1	0	2	2	2	9	6	0	40	5	2
MTND1P34	0	0	0	0	0	0	0	6	1	0
FAM197Y5	0	0	0	0	0	0	0	0	0	0
LINC01703	2	3	21	4	8	7	40	6	71	27
AL365434.1	0	0	0	0	0	0	1	0	0	0
TTTY16	0	0	0	0	0	0	0	0	0	0
AC005237.1	0	0	0	0	0	1	1	20	3	0
AL592114.2	0	0	0	0	0	0	0	0	0	0
MKRN2OS	50	80	51	81	231	136	74	126	94	154
AL450384.1	1	1	1	4	0	7	1	31	4	3
Z82206.1	1	6	2	1	2	6	4	14	1	4
SP3P	0	1	0	1	0	6	0	0	1	0
AL807761.2	1	6	5	3	1	3	3	2	10	5
AL731684.1	0	0	0	0	0	0	0	0	0	1
PAWRP1	0	0	0	0	0	0	0	1	1	0
LINC01393	2	0	8	3	0	6	2	0	11	1
STIP1P3	2	12	2	0	22	3	0	1	8	2
AC073325.1	0	0	0	0	0	0	0	0	0	0
OR5BE1P	0	0	0	0	0	0	0	0	0	0
LINC01821	0	0	0	0	0	0	0	0	0	0
AC002480.1	0	0	1	3	0	4	1	3	0	1
ZNF385D-AS1	0	0	0	0	0	0	0	1	0	0
AC245452.2	0	0	0	1	1	0	1	2	1	20
AL162399.1	0	0	0	0	0	0	0	4	0	0
LINC02476	0	0	0	1	0	0	0	0	0	0
LINC01980	0	0	50	0	0	1	0	1	0	0
SELENOKP3	0	0	0	0	0	0	0	3	0	2
AL157827.1	0	0	0	0	0	0	0	19	1	0
NAALADL2-AS1	0	0	0	0	0	0	0	1	0	0
AL359764.1	0	0	0	1	0	1	0	0	0	0
AP000320.1	0	0	0	1	0	1	0	0	0	1
C2CD4D	23	32	40	30	4	63	59	22	175	90
MTCO3P20	0	0	0	0	0	0	0	3	0	0
UBE2D3P2	4	9	2	6	30	3	6	38	2	10
AC083867.1	0	0	0	0	0	1	1	0	0	0
FAM197Y8	0	0	0	0	0	0	0	0	0	0
LINC01710	0	0	0	0	0	0	0	0	0	0
AC006076.1	0	0	0	0	0	0	0	0	0	0
LINC01492	0	0	0	0	0	0	0	0	0	0
AC093155.1	2	2	1	0	0	1	0	19	0	2
CCT4P2	0	0	0	0	2	1	1	24	0	0
AC013733.1	0	0	0	0	0	0	0	0	0	0
DOCK4-AS1	0	0	0	0	0	0	0	125	0	0
DRAXINP1	0	0	0	0	0	0	0	0	2	0
NCBP2-AS1	1	2	2	2	0	40	6	25	6	6
EDNRB-AS1	0	0	0	0	0	0	0	0	0	0
AL358942.1	2	4	2	1	10	2	1	5	23	10
TRIM53AP	0	0	0	0	0	0	0	0	0	0
AC011193.1	0	0	0	0	0	0	0	0	0	0
AC004690.1	0	0	0	0	0	0	0	0	0	0
IPPKP1	0	0	0	0	0	0	0	0	0	0
AC096669.1	0	0	0	0	0	0	0	0	0	0
BX248409.1	3	3	3	0	0	0	0	19	8	2
AC098826.1	0	0	0	0	0	0	0	0	0	0
LINC01623	0	0	2	0	0	0	0	2	10	4
AL606519.1	0	0	0	0	0	0	0	0	0	0
MTOR-AS1	0	0	1	1	0	0	0	45	0	2
AC244394.1	0	2	0	0	1	0	0	4	2	1
AC092813.1	0	0	0	0	0	0	0	1	0	1
AC005281.1	1	3	0	1	1	0	0	3	1	5
CDY20P	0	0	0	0	0	0	0	0	0	0
AC007679.1	1	0	0	0	0	0	0	7	1	0
LINC02158	2	3	1	3	0	1	4	3	3	3
AC099552.2	0	0	0	0	0	0	0	0	0	4
LINCMD1	1	0	0	0	1	0	1	1	0	0
ZNF469	105	152	273	1147	93	1156	1477	528	33	401
RBMY2UP	0	0	0	0	0	0	0	0	0	0
AL138785.1	110	82	131	2	81	0	4	6	18	10
MYT1L-AS1	0	0	0	0	0	0	0	0	0	0
AC104463.1	0	0	0	0	0	0	0	0	0	0
PPIAP17	0	0	0	0	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	1	0	1	24	0	0
TBL1YP1	0	0	0	0	0	0	0	0	1	0
AC090517.1	0	0	0	0	0	0	0	0	1	0
C9orf135-AS1	0	0	0	1	0	0	0	0	0	0
MTND2P28	3866	2312	1716	3866	458	4381	5764	949	17017	7541
AL161644.1	0	0	0	0	0	0	0	59	0	0
HNRNPA3P15	0	0	0	0	0	1	0	18	0	0
AP001046.1	2	0	1	0	0	1	0	0	0	0
PABPC1P12	0	0	0	1	0	0	0	0	0	0
PGAM1P2	0	0	0	0	1	0	0	5	0	1
LINC01729	1	0	0	0	0	0	0	1	0	0
SNRPEP5	0	0	0	0	0	0	0	0	2	1
AL606491.1	4	1	1	8	0	0	0	9	7	7
AC005487.1	1	0	0	0	0	0	0	0	0	0
SBDSP1	147	180	214	614	176	981	641	118	1615	575
AC064875.1	0	3	1	12	0	10	1	7	0	0
EIF2S2P5	0	1	0	0	1	0	0	28	2	0
KCNMA1-AS3	0	0	0	0	0	2	0	21	0	1
RNF19BPY	0	0	0	0	0	0	0	0	0	0
BX255923.1	0	0	0	4	0	1	1	1	15	0
AL118511.2	0	0	0	0	0	0	0	9	2	0
LINC01716	0	0	0	0	0	0	0	0	0	0
TAF13P2	0	3	0	0	0	0	0	0	0	0
Z99497.1	0	0	0	0	0	0	0	0	0	0
AC012519.1	0	1	0	0	5	1	0	1	1	0
MCRIP1	925	1485	712	2763	639	3689	2147	192	4499	841
YWHAZP8	0	0	0	0	0	0	0	0	0	0
SAR1AP3	2	2	0	0	0	0	0	2	0	0
CADM3-AS1	5	0	1	90	1	35	7	7	0	1
FCF1P6	0	0	1	1	0	0	0	5	0	0
CCNT2P1	0	0	0	0	1	0	0	0	0	0
AC104164.1	0	1	0	0	0	0	0	42	0	0
IPO7P2	2	1	2	0	6	0	1	21	8	5
LINC01771	1	0	1	2	1	5	5	5	19	1
AC002378.1	0	0	0	0	1	0	0	0	0	0
AP000619.1	0	0	3	1	2	15	0	0	6	0
AL163953.1	9	0	16	7	8	53	4	9	95	9
AC005730.1	0	0	0	0	0	0	0	1	0	0
PACRG-AS3	0	0	0	0	0	0	0	0	0	0
FAM225B	1	0	4	16	4	35	6	12	7	1
TSPY5P	0	0	0	0	0	0	0	0	0	0
AL442647.1	0	0	0	0	0	1	0	0	17	0
TREML5P	0	0	0	1	0	0	0	19	0	0
LAGE3P1	2	0	2	1	5	4	5	58	23	11
HNRNPA1P35	3	4	3	8	20	5	9	72	36	24
SLC26A6	1273	625	1438	815	1729	3894	1862	1532	1055	2451
EIF4A1P13	0	0	0	1	0	1	0	1	0	0
AC114737.1	0	1	0	0	1	0	2	124	0	0
AL031274.1	1	0	1	2	0	0	5	1	5	0
AC004899.1	0	0	0	0	0	0	0	1	1	0
PTPRD-AS1	30	3	25	2	3	27	33	0	0	0
AL354984.2	0	0	0	0	0	0	2	0	4	0
AL355149.1	0	0	0	0	0	0	0	0	0	0
AL512326.1	0	1	1	0	0	0	1	59	1	0
ATP5MC2P1	2	4	4	0	14	0	0	0	4	1
AL512504.1	0	2	1	0	6	0	0	33	1	0
ELOCP13	0	0	0	0	0	0	0	0	0	0
AC092100.1	0	0	0	0	0	0	0	0	0	0
NMNAT1P2	0	0	0	0	0	0	0	3	0	0
AL031846.1	1	0	1	2	4	3	0	3	5	3
AL592166.1	11	4	5	5	2	6	8	48	39	11
BX890604.2	2	0	1	0	0	1	0	0	0	0
MTND6P15	0	0	0	0	0	0	0	0	0	0
ASH2LP3	0	0	0	1	0	0	0	0	0	0
FAM66E	1	0	0	1	0	0	0	0	1	0
AC007000.2	1	0	1	1	0	4	2	25	2	3
AL139184.1	1	0	0	0	0	1	0	21	2	0
AL034399.1	0	0	0	0	0	0	0	2	0	0
AL096772.1	0	0	0	0	0	0	0	32	0	1
AP001627.1	2	3	1	13	0	4	126	17	1	2
FGD5-AS1	2411	3033	2051	4891	2999	10243	4734	2430	9693	4831
NEK4P1	0	0	0	0	0	0	0	0	0	0
NRG3-AS1	0	0	0	0	0	0	0	0	0	0
NPM1P18	0	0	1	1	0	0	2	9	8	1
ELOCP6	0	0	0	0	0	0	0	0	0	0
AC245517.1	0	0	0	0	0	0	0	0	0	0
LINC02036	0	1	0	0	0	1	0	0	1	4
AC017002.2	1	0	0	0	0	0	4	3	0	0
MEG8	1	0	1	10	1	8	1	22	1	4
AL357500.1	0	0	0	1	0	1	0	16	1	0
AC087501.1	1	0	0	0	0	1	1	48	1	0
AL023581.1	0	0	0	0	0	0	0	15	0	0
AL451063.1	0	0	0	0	0	1	0	13	0	0
DBH-AS1	12	8	9	26	3	23	12	30	23	7
LINC00489	0	0	0	0	0	0	0	0	0	0
LINC00431	0	3	0	0	15	2	1	3	40	0
AL596247.1	2	2	0	1	0	8	4	36	1	2
LINC01389	27	6	4	6	21	15	7	153	53	17
P3H2-AS1	1	1	1	2	0	0	0	0	17	0
LINC01831	0	0	0	0	0	0	0	0	0	0
DHRS4L1	11	3	9	11	10	6	6	60	25	7
AL049637.1	0	1	0	0	0	0	0	91	0	0
AL161646.1	0	0	0	0	0	0	0	5	0	0
CROCCP1	1	0	1	0	1	0	0	0	0	0
SIRPAP1	2	0	0	2	2	2	2	4	0	3
AL137220.1	0	0	0	0	0	0	0	0	0	0
DDX39AP1	0	0	1	0	0	0	0	0	1	0
PROSER2-AS1	1	2	0	14	1	5	7	7	19	3
AL122001.1	0	0	0	0	0	0	0	11	1	0
OR6V1	0	0	0	0	0	0	0	4	0	0
MIAT	325	132	66	220	19	266	143	1585	56	47
AL109610.1	0	0	0	0	0	0	0	0	0	0
LSM3P3	2	4	0	0	3	0	0	0	1	0
AC007953.1	0	0	0	1	0	0	0	0	0	0
TRAM2-AS1	87	153	134	229	119	287	214	70	666	168
AC004540.2	4	15	65	20	0	4	8	3	2	11
AL080250.1	8	0	8	10	3	17	9	15	23	6
AC073321.1	0	0	0	0	1	2	0	0	2	0
AC006463.1	0	0	0	0	0	0	0	3	0	0
MTND4P23	2	8	1	1	0	1	0	92	0	1
UBDP1	0	0	0	0	0	0	0	0	0	0
AC025918.1	2	0	0	3	0	2	2	13	1	0
RABEPKP1	0	0	0	0	0	0	0	0	0	0
WARSP1	2	0	0	0	0	0	2	0	0	1
MRPS11P1	0	0	0	0	1	0	0	0	0	0
DEFB131B	0	2	0	1	0	4	0	14	4	4
AL121917.1	6	4	4	6	0	16	22	9	92	11
AC069281.1	0	0	0	1	1	0	0	1	0	0
DNAJC19P5	1	15	0	7	1	6	1	45	24	18
RBMY2KP	0	0	0	0	0	0	0	0	3	0
AL354771.1	0	0	0	0	0	0	0	0	0	0
AC009299.1	0	0	0	0	0	0	0	0	0	0
GRPEL2P2	0	0	0	0	0	0	0	1	0	0
AC092669.1	0	0	0	0	0	0	0	0	0	0
GTF3AP5	0	0	0	0	0	0	0	0	0	0
AC118653.1	0	0	0	0	0	0	0	0	0	0
AC013269.2	0	0	0	0	0	0	0	0	0	0
UBXN7-AS1	0	0	0	0	0	1	1	13	0	0
LINC00626	0	0	2	6	1	0	0	16	0	0
SFTPA3P	0	0	0	0	0	0	0	0	0	0
FAM229A	54	68	66	51	28	50	57	131	227	66
ERCC6	151	228	136	421	170	371	458	542	638	654
AL035090.1	0	0	0	0	0	0	0	21	1	0
AC097625.1	0	0	1	0	0	0	1	1	0	1
AL157400.1	1	0	0	0	0	1	1	2	0	0
TRMT2B-AS1	0	0	0	0	0	2	0	6	2	0
AC010970.1	576	105	4	3	9	0	0	649	2	6
AC139712.2	0	0	0	0	0	0	0	0	0	1
NIPA2P1	0	0	0	0	0	0	0	0	0	0
AC112719.1	0	0	0	0	2	1	0	0	0	0
MKRN7P	0	0	0	0	0	0	0	0	1	0
AL355490.1	4	0	7	2	2	11	3	2	6	5
HLA-S	0	6	0	1	28	0	1	0	6	1
AL451139.1	5	4	2	0	1	0	13	38	9	1
RUSC1-AS1	183	60	105	102	35	277	480	598	216	513
PCNPP2	0	0	0	0	0	0	0	0	0	0
AL162431.1	0	1	0	0	0	2	0	12	1	1
BX295541.1	0	0	0	0	0	0	0	0	0	0
LINC02072	0	0	0	0	0	0	1	0	0	0
HCG4P11	9	9	9	3	6	4	6	8	91	0
AL022315.1	0	0	0	0	0	0	0	2	0	3
AC016582.1	1	0	0	8	7	2	6	1	0	2
AC008696.1	0	2	0	0	4	1	0	0	2	0
LINC00368	0	0	0	0	0	0	0	0	0	0
AC245100.2	3	9	3	6	4	6	7	139	25	4
LINC01529	0	0	1	5	0	0	1	7	0	3
LINC00694	6	3	3	5	1	1	9	1	1	11
AC024067.1	0	0	0	0	0	0	0	0	0	0
PSG8-AS1	0	0	1	0	0	0	0	1	2	0
SERBP1P2	0	0	0	0	0	0	0	0	0	1
AL109924.1	0	0	0	0	0	2	0	2	1	0
LINC00115	16	11	11	19	5	24	32	35	71	58
AC009365.2	0	0	0	0	0	0	0	0	0	0
LINC01456	0	0	0	0	0	0	0	0	0	1
BMS1P11	0	0	0	0	1	0	1	0	0	0
AC098872.1	0	0	0	0	0	0	0	0	0	0
AC023590.1	1	0	0	1	0	4	16	267	5	14
AL445490.1	2	2	4	4	0	2	15	100	3	6
AC012368.1	35	28	16	22	9	29	37	109	98	26
AL513365.2	2	0	0	2	1	3	6	87	11	5
AL136231.1	1	0	2	2	3	0	1	57	2	1
TRAPPC2P8	0	0	0	0	0	0	0	0	0	0
AC007742.1	0	0	0	0	0	0	0	0	0	0
AC002075.1	0	0	0	0	0	0	0	0	0	0
FRG2B	0	0	0	0	1	0	0	0	0	0
HSPE1P13	0	0	0	0	0	0	0	70	1	1
MTND2P9	0	0	0	0	0	1	0	0	2	0
AL035404.2	0	0	1	2	0	0	0	4	0	0
MORF4L1P7	0	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	1	8	0	3	2	2	37	1
AP000949.1	0	0	0	0	0	0	0	0	0	0
AC009310.1	0	0	0	0	0	0	0	0	0	0
AL121871.1	0	0	0	2	3	2	0	0	3	10
AL138767.3	2	0	5	4	0	9	3	2	0	3
HCG23	0	1	0	0	0	0	0	2	4	0
AC007879.2	1	0	0	1	0	0	0	2	0	0
LINC01745	0	0	0	0	0	0	0	0	0	0
RIMKLBP2	7	1	1	3	0	4	11	24	5	10
NOL7	721	1086	975	1709	906	2514	2358	436	4686	3639
AC092393.1	0	0	0	0	0	0	0	0	0	0
TAB2-AS1	0	0	0	0	0	0	0	0	0	0
AL672138.1	0	0	0	0	0	0	0	0	0	0
CACYBPP1	0	0	0	0	1	1	0	87	1	0
AC000036.1	2	0	0	2	0	0	0	4	0	0
LINC02249	0	0	0	0	3	0	0	0	0	0
AL139246.2	1	0	0	8	3	3	7	28	6	4
CTAGE4	2	2	4	1	0	7	1	5	39	7
AC133965.1	0	0	0	0	1	0	0	1	1	0
AL592310.1	1	0	1	0	0	1	2	25	1	0
BANF1P5	0	0	0	0	0	0	0	2	0	0
AL731557.1	0	0	0	0	0	1	0	0	0	0
PCA3	0	0	2	5	0	3	1	391	0	0
AL109741.1	1	1	2	23	0	5	2	5	0	1
C5orf67	0	0	0	1	0	0	0	0	0	1
LINC01875	0	0	0	0	0	0	0	0	0	0
AC016907.1	0	0	0	0	0	0	0	0	0	0
RIOK3P1	0	0	0	0	0	0	0	0	0	0
AL121574.1	0	0	1	1	0	4	0	2	8	3
AL596448.1	0	0	0	0	5	0	0	0	1	0
AL158210.1	0	1	3	0	0	0	0	1	0	2
Z77249.1	0	0	0	0	0	0	0	0	0	0
NTF4	0	0	2	1	1	1	0	1	76	0
ODF2-AS1	3	0	6	0	0	2	1	16	1	2
AL512444.1	1	0	0	0	0	2	0	208	0	0
SATB2-AS1	380	129	890	12	19	242	656	25	1	12
AL050320.1	0	0	0	1	0	2	1	10	0	0
AC231532.1	0	0	0	0	0	0	0	1	0	0
MTND4P3	0	0	0	0	0	0	0	0	0	0
AL441989.1	0	0	0	0	0	0	0	0	0	0
AC009950.1	9	8	2	34	5	27	36	139	19	21
NRIR	1	5	2	9	5	5	14	47	2	2
